Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/16/24 12:03:17] (0.22s) | Epoch: 1 | Batch: 0 (0.209s) | LR: 0.001 | KL Weight: 0.1 | Loss: 54851.05078125
[07/16/24 12:03:17] (0.32s) | Epoch: 1 | Batch: 1 (0.014s) | LR: 0.001 | KL Weight: 0.1 | Loss: 53965.375
[07/16/24 12:03:17] (0.35s) | Epoch: 1 | Batch: 2 (0.028s) | LR: 0.001 | KL Weight: 0.1 | Loss: 50389.984375
[07/16/24 12:03:17] (0.39s) | Epoch: 1 | Batch: 3 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 38081.0390625
[07/16/24 12:03:17] (0.43s) | Epoch: 1 | Batch: 4 (0.029s) | LR: 0.001 | KL Weight: 0.1 | Loss: 63551.078125
[07/16/24 12:03:17] (0.47s) | Epoch: 1 | Batch: 5 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 33011.63671875
[07/16/24 12:03:17] (0.51s) | Epoch: 1 | Batch: 6 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 35950.95703125
[07/16/24 12:03:17] (0.54s) | Epoch: 1 | Batch: 7 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 38922.625
[07/16/24 12:03:17] (0.58s) | Epoch: 1 | Batch: 8 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 38660.2265625
[07/16/24 12:03:17] (0.62s) | Epoch: 1 | Batch: 9 (0.025s) | LR: 0.001 | KL Weight: 0.1 | Loss: 35411.65234375
[07/16/24 12:03:17] (0.65s) | Epoch: 1 | Batch: 10 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 31376.6171875
[07/16/24 12:03:18] (0.68s) | Epoch: 1 | Batch: 11 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 28495.53125
[07/16/24 12:03:18] (0.71s) | Epoch: 1 | Batch: 12 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29842.427734375
[07/16/24 12:03:18] (0.74s) | Epoch: 1 | Batch: 13 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 32622.857421875
[07/16/24 12:03:18] (0.78s) | Epoch: 1 | Batch: 14 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29624.7265625
[07/16/24 12:03:18] (0.81s) | Epoch: 1 | Batch: 15 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 25673.421875
[07/16/24 12:03:18] (0.84s) | Epoch: 1 | Batch: 16 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 25582.083984375
[07/16/24 12:03:18] (0.87s) | Epoch: 1 | Batch: 17 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 27502.10546875
[07/16/24 12:03:18] (0.90s) | Epoch: 1 | Batch: 18 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 26356.107421875
[07/16/24 12:03:18] (0.94s) | Epoch: 1 | Batch: 19 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 25147.611328125
[07/16/24 12:03:18] (0.97s) | Epoch: 1 | Batch: 20 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23286.3359375
[07/16/24 12:03:18] (1.00s) | Epoch: 1 | Batch: 21 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23796.234375
[07/16/24 12:03:18] (1.03s) | Epoch: 1 | Batch: 22 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 25187.453125
[07/16/24 12:03:18] (1.06s) | Epoch: 1 | Batch: 23 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22377.59375
[07/16/24 12:03:18] (1.09s) | Epoch: 1 | Batch: 24 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23072.607421875
[07/16/24 12:03:18] (1.12s) | Epoch: 1 | Batch: 25 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22525.509765625
[07/16/24 12:03:18] (1.15s) | Epoch: 1 | Batch: 26 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23045.494140625
[07/16/24 12:03:18] (1.19s) | Epoch: 1 | Batch: 27 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23378.044921875
[07/16/24 12:03:18] (1.22s) | Epoch: 1 | Batch: 28 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21941.419921875
[07/16/24 12:03:18] (1.25s) | Epoch: 1 | Batch: 29 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21979.212890625
[07/16/24 12:03:18] (1.28s) | Epoch: 1 | Batch: 30 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21793.77734375
[07/16/24 12:03:18] (1.31s) | Epoch: 1 | Batch: 31 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21314.01953125
[07/16/24 12:03:18] (1.34s) | Epoch: 1 | Batch: 32 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20673.849609375
[07/16/24 12:03:18] (1.37s) | Epoch: 1 | Batch: 33 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20368.58203125
[07/16/24 12:03:18] (1.41s) | Epoch: 1 | Batch: 34 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20619.880859375
[07/16/24 12:03:18] (1.44s) | Epoch: 1 | Batch: 35 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21745.544921875
[07/16/24 12:03:18] (1.47s) | Epoch: 1 | Batch: 36 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21111.658203125
[07/16/24 12:03:18] (1.50s) | Epoch: 1 | Batch: 37 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21304.71484375
[07/16/24 12:03:18] (1.54s) | Epoch: 1 | Batch: 38 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22401.7890625
[07/16/24 12:03:18] (1.57s) | Epoch: 1 | Batch: 39 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21101.37109375
[07/16/24 12:03:18] (1.60s) | Epoch: 1 | Batch: 40 (0.018s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20744.10546875
[07/16/24 12:03:18] (1.63s) | Epoch: 1 | Batch: 41 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20426.158203125
[07/16/24 12:03:19] (1.66s) | Epoch: 1 | Batch: 42 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20435.591796875
[07/16/24 12:03:19] (1.70s) | Epoch: 1 | Batch: 43 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20984.08203125
[07/16/24 12:03:19] (1.73s) | Epoch: 1 | Batch: 44 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20275.783203125
[07/16/24 12:03:19] (1.76s) | Epoch: 1 | Batch: 45 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20262.0625
[07/16/24 12:03:19] (1.79s) | Epoch: 1 | Batch: 46 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19270.837890625
[07/16/24 12:03:19] (1.82s) | Epoch: 1 | Batch: 47 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19450.380859375
[07/16/24 12:03:19] (1.86s) | Epoch: 1 | Batch: 48 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19860.365234375
[07/16/24 12:03:19] (1.89s) | Epoch: 1 | Batch: 49 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19554.955078125
[07/16/24 12:03:19] (1.92s) | Epoch: 1 | Batch: 50 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19872.380859375
[07/16/24 12:03:19] (1.95s) | Epoch: 1 | Batch: 51 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19796.279296875
[07/16/24 12:03:19] (1.99s) | Epoch: 1 | Batch: 52 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20126.115234375
[07/16/24 12:03:19] (2.02s) | Epoch: 1 | Batch: 53 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19325.22265625
[07/16/24 12:03:19] (2.04s) | Epoch: 1 | Batch: 54 (0.018s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19276.033203125
[07/16/24 12:03:19] (2.08s) | Epoch: 1 | Batch: 55 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19311.537109375
[07/16/24 12:03:19] (2.11s) | Epoch: 1 | Batch: 56 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19722.517578125
[07/16/24 12:03:19] (2.14s) | Epoch: 1 | Batch: 57 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19700.1171875
[07/16/24 12:03:19] (2.17s) | Epoch: 1 | Batch: 58 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19158.732421875
[07/16/24 12:03:19] (2.21s) | Epoch: 1 | Batch: 59 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19315.5390625
[07/16/24 12:03:19] (2.24s) | Epoch: 1 | Batch: 60 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19925.46484375
[07/16/24 12:03:19] (2.27s) | Epoch: 1 | Batch: 61 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19930.892578125
[07/16/24 12:03:19] (2.30s) | Epoch: 1 | Batch: 62 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19475.048828125
[07/16/24 12:03:19] (2.33s) | Epoch: 1 | Batch: 63 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20149.80859375
[07/16/24 12:03:19] (2.36s) | Epoch: 1 | Batch: 64 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19481.65234375
[07/16/24 12:03:19] (2.40s) | Epoch: 1 | Batch: 65 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19416.2265625
[07/16/24 12:03:19] (2.43s) | Epoch: 1 | Batch: 66 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19477.482421875
[07/16/24 12:03:19] (2.46s) | Epoch: 1 | Batch: 67 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19302.33203125
[07/16/24 12:03:19] (2.49s) | Epoch: 1 | Batch: 68 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19559.41796875
[07/16/24 12:03:19] (2.52s) | Epoch: 1 | Batch: 69 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19593.62109375
[07/16/24 12:03:19] (2.56s) | Epoch: 1 | Batch: 70 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18490.48828125
[07/16/24 12:03:19] (2.59s) | Epoch: 1 | Batch: 71 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19935.71875
[07/16/24 12:03:19] (2.62s) | Epoch: 1 | Batch: 72 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18846.865234375
[07/16/24 12:03:19] (2.65s) | Epoch: 1 | Batch: 73 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18791.39453125
[07/16/24 12:03:20] (2.68s) | Epoch: 1 | Batch: 74 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18901.0078125
[07/16/24 12:03:20] (2.71s) | Epoch: 1 | Batch: 75 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19617.9921875
[07/16/24 12:03:20] (2.74s) | Epoch: 1 | Batch: 76 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19017.134765625
[07/16/24 12:03:20] (2.78s) | Epoch: 1 | Batch: 77 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19671.775390625
[07/16/24 12:03:20] (2.81s) | Epoch: 1 | Batch: 78 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18844.55078125
[07/16/24 12:03:20] (2.84s) | Epoch: 1 | Batch: 79 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18732.181640625
[07/16/24 12:03:20] (2.87s) | Epoch: 1 | Batch: 80 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18820.892578125
[07/16/24 12:03:20] (2.91s) | Epoch: 1 | Batch: 81 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18898.314453125
[07/16/24 12:03:20] (2.94s) | Epoch: 1 | Batch: 82 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19385.1015625
[07/16/24 12:03:20] (2.97s) | Epoch: 1 | Batch: 83 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18804.4609375
