09/26/24 12:54:30 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

09/26/24 12:54:30 Train Loader Image Data Size: (28, 28)
09/26/24 12:54:31 (0m 01s) | [1/10000] Batch 0 (0.813s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.065, Rec. Loss: 0.23686865 | Total Loss: 0.23686865
09/26/24 12:54:32 (0m 02s) | [1/10000] Batch 1 (0.007s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.070, Rec. Loss: 0.23684311 | Total Loss: 0.23684311
09/26/24 12:54:33 (0m 02s) | [1/10000] Batch 2 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.069, Rec. Loss: 0.23684058 | Total Loss: 0.23684058
09/26/24 12:54:33 (0m 03s) | [1/10000] Batch 3 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.075, Rec. Loss: 0.23680231 | Total Loss: 0.23680231
09/26/24 12:54:33 (0m 03s) | [1/10000] Batch 4 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.076, Rec. Loss: 0.23681273 | Total Loss: 0.23681273
09/26/24 12:54:34 (0m 03s) | [1/10000] Batch 5 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.051, Rec. Loss: 0.23701246 | Total Loss: 0.23701246
09/26/24 12:54:34 (0m 04s) | [1/10000] Batch 6 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.092, Rec. Loss: 0.23670417 | Total Loss: 0.23670417
09/26/24 12:54:35 (0m 04s) | [1/10000] Batch 7 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.048, Rec. Loss: 0.23698261 | Total Loss: 0.23698261
09/26/24 12:54:35 (0m 05s) | [1/10000] Batch 8 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.099, Rec. Loss: 0.23668018 | Total Loss: 0.23668018
09/26/24 12:54:35 (0m 05s) | [1/10000] Batch 9 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.073, Rec. Loss: 0.23682146 | Total Loss: 0.23682146
09/26/24 12:54:36 (0m 06s) | [1/10000] Batch 10 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.075, Rec. Loss: 0.23681125 | Total Loss: 0.23681125
09/26/24 12:54:36 (0m 06s) | [1/10000] Batch 11 (0.020s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.077, Rec. Loss: 0.23682415 | Total Loss: 0.23682415
09/26/24 12:54:37 (0m 06s) | [1/10000] Batch 12 (0.025s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.097, Rec. Loss: 0.23672852 | Total Loss: 0.23672852
09/26/24 12:54:37 (0m 07s) | [1/10000] Batch 13 (0.021s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.101, Rec. Loss: 0.23669174 | Total Loss: 0.23669174
09/26/24 12:54:37 (0m 07s) | [1/10000] Batch 14 (0.021s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.048, Rec. Loss: 0.23699822 | Total Loss: 0.23699822
09/26/24 12:54:38 (0m 07s) | [1/10000] Batch 15 (0.021s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.095, Rec. Loss: 0.23675986 | Total Loss: 0.23675986
09/26/24 12:54:38 (0m 08s) | [1/10000] Batch 16 (0.022s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.100, Rec. Loss: 0.23669407 | Total Loss: 0.23669407
09/26/24 12:54:39 (0m 08s) | [1/10000] Batch 17 (0.027s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.103, Rec. Loss: 0.23671313 | Total Loss: 0.23671313
09/26/24 12:54:39 (0m 09s) | [1/10000] Batch 18 (0.021s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.108, Rec. Loss: 0.23670420 | Total Loss: 0.23670420
09/26/24 12:54:39 (0m 09s) | [1/10000] Batch 19 (0.053s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.132, Rec. Loss: 0.23658377 | Total Loss: 0.23658377
09/26/24 12:54:40 (0m 10s) | [1/10000] Batch 20 (0.007s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.100, Rec. Loss: 0.23673545 | Total Loss: 0.23673545
09/26/24 12:54:40 (0m 10s) | [1/10000] Batch 21 (0.008s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.112, Rec. Loss: 0.23670976 | Total Loss: 0.23670976
09/26/24 12:54:41 (0m 10s) | [1/10000] Batch 22 (0.009s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.138, Rec. Loss: 0.23657261 | Total Loss: 0.23657261
09/26/24 12:54:41 (0m 11s) | [1/10000] Batch 23 (0.009s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.120, Rec. Loss: 0.23668417 | Total Loss: 0.23668417
09/26/24 12:54:41 (0m 11s) | [1/10000] Batch 24 (0.021s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.114, Rec. Loss: 0.23670205 | Total Loss: 0.23670205
09/26/24 12:54:42 (0m 12s) | [1/10000] Batch 25 (0.021s) | LR: 1e-06 | KLW: 0, KLD (loss): 14.134, Rec. Loss: 0.23663978 | Total Loss: 0.23663978
