09/26/24 19:34:11 Textual logger initiated. Now configuring tensorboard writer.
09/26/24 19:34:11 Tensorboard writers created. Tensorboard logs will be saved to "Training Logs/09-26-24__19-34-11/tensorboard".
09/26/24 19:34:11 Starting Tensorboard thread...
09/26/24 19:34:15 Tensorboard is ready at http://localhost:6006/.
09/26/24 19:34:15 Continuing to training script...
09/26/24 19:34:18 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

09/26/24 19:34:18 Train Loader Image Data Size: (28, 28)
09/26/24 19:34:19 (0m 01s) | [1/10000] Batch 0 (1.150s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.880, Rec. Loss: 0.24783418 | Total Loss: 0.24783418
09/26/24 19:34:21 (0m 03s) | [1/10000] Batch 1 (0.008s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.883, Rec. Loss: 0.24780156 | Total Loss: 0.24780156
09/26/24 19:34:21 (0m 03s) | [1/10000] Batch 2 (0.006s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.880, Rec. Loss: 0.24769671 | Total Loss: 0.24769671
09/26/24 19:34:22 (0m 03s) | [1/10000] Batch 3 (0.006s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.876, Rec. Loss: 0.24763313 | Total Loss: 0.24763313
09/26/24 19:34:22 (0m 04s) | [1/10000] Batch 4 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.877, Rec. Loss: 0.24775323 | Total Loss: 0.24775323
09/26/24 19:34:22 (0m 04s) | [1/10000] Batch 5 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.881, Rec. Loss: 0.24776891 | Total Loss: 0.24776891
09/26/24 19:34:23 (0m 05s) | [1/10000] Batch 6 (0.029s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.879, Rec. Loss: 0.24791890 | Total Loss: 0.24791890
09/26/24 19:34:23 (0m 05s) | [1/10000] Batch 7 (0.028s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.880, Rec. Loss: 0.24769153 | Total Loss: 0.24769153
09/26/24 19:34:23 (0m 05s) | [1/10000] Batch 8 (0.028s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.877, Rec. Loss: 0.24777924 | Total Loss: 0.24777924
09/26/24 19:34:24 (0m 06s) | [1/10000] Batch 9 (0.029s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.878, Rec. Loss: 0.24768709 | Total Loss: 0.24768709
09/26/24 19:34:24 (0m 06s) | [1/10000] Batch 10 (0.044s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.884, Rec. Loss: 0.24780674 | Total Loss: 0.24780674
09/26/24 19:34:25 (0m 06s) | [1/10000] Batch 11 (0.006s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.876, Rec. Loss: 0.24770294 | Total Loss: 0.24770294
