10/04/24 12:36:05 Textual logger initiated. Now configuring tensorboard writer.
10/04/24 12:36:05 Tensorboard writers created. Tensorboard logs will be saved to "./Training Logs/10-04-24__12-36-05/tensorboard".
10/04/24 12:36:05 Starting Tensorboard thread...
10/04/24 12:36:09 Tensorboard is ready at http://localhost:6006/.
10/04/24 12:36:09 Continuing to training script...
10/04/24 12:36:12 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

10/04/24 12:36:12 Train Loader Image Data Size: (28, 28)
10/04/24 12:36:13 (0:00:01.04) | [1/10000] Batch 0 (1.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 1698.469, Rec. Loss: 13136.07324219 | Total Loss: 13136.07324219
10/04/24 12:36:14 (0:00:01.85) | [1/10000] Batch 1 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 1690.433, Rec. Loss: 13221.83300781 | Total Loss: 13221.83300781
10/04/24 12:36:14 (0:00:01.89) | [1/10000] Batch 2 (0.005s) | LR: 1e-08 | KLW: 0, KLD (loss): 1568.354, Rec. Loss: 12344.80859375 | Total Loss: 12344.80859375
10/04/24 12:36:14 (0:00:01.93) | [1/10000] Batch 3 (0.005s) | LR: 1e-08 | KLW: 0, KLD (loss): 1710.741, Rec. Loss: 13327.75878906 | Total Loss: 13327.75878906
10/04/24 12:36:14 (0:00:01.97) | [1/10000] Batch 4 (0.005s) | LR: 1e-08 | KLW: 0, KLD (loss): 1569.563, Rec. Loss: 12164.32617188 | Total Loss: 12164.32617188
10/04/24 12:36:14 (0:00:02.00) | [1/10000] Batch 5 (0.004s) | LR: 1e-08 | KLW: 0, KLD (loss): 1790.166, Rec. Loss: 14123.86621094 | Total Loss: 14123.86621094
10/04/24 12:36:14 (0:00:02.05) | [1/10000] Batch 6 (0.005s) | LR: 1e-08 | KLW: 0, KLD (loss): 1655.799, Rec. Loss: 12966.79394531 | Total Loss: 12966.79394531
10/04/24 12:36:14 (0:00:02.08) | [1/10000] Batch 7 (0.005s) | LR: 1e-08 | KLW: 0, KLD (loss): 1839.300, Rec. Loss: 14266.54687500 | Total Loss: 14266.54687500
10/04/24 12:36:14 (0:00:02.12) | [1/10000] Batch 8 (0.004s) | LR: 1e-08 | KLW: 0, KLD (loss): 1778.741, Rec. Loss: 13884.29687500 | Total Loss: 13884.29687500
10/04/24 12:36:14 (0:00:02.16) | [1/10000] Batch 9 (0.005s) | LR: 1e-08 | KLW: 0, KLD (loss): 1704.594, Rec. Loss: 13383.12011719 | Total Loss: 13383.12011719
10/04/24 12:36:14 (0:00:02.20) | [1/10000] Batch 10 (0.005s) | LR: 1e-08 | KLW: 0, KLD (loss): 1636.646, Rec. Loss: 12755.25878906 | Total Loss: 12755.25878906
