Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/16/24 13:33:01] (0.23s) | Epoch: 1 | Batch: 0 (0.216s) | LR: 0.001 | KL Weight: 0.1 | Loss: 55908.1171875
[07/16/24 13:33:01] (0.33s) | Epoch: 1 | Batch: 1 (0.014s) | LR: 0.001 | KL Weight: 0.1 | Loss: 54957.8828125
[07/16/24 13:33:01] (0.37s) | Epoch: 1 | Batch: 2 (0.029s) | LR: 0.001 | KL Weight: 0.1 | Loss: 50803.703125
[07/16/24 13:33:01] (0.40s) | Epoch: 1 | Batch: 3 (0.026s) | LR: 0.001 | KL Weight: 0.1 | Loss: 38507.984375
[07/16/24 13:33:01] (0.44s) | Epoch: 1 | Batch: 4 (0.026s) | LR: 0.001 | KL Weight: 0.1 | Loss: 45628.03125
[07/16/24 13:33:01] (0.48s) | Epoch: 1 | Batch: 5 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 31292.5859375
[07/16/24 13:33:01] (0.52s) | Epoch: 1 | Batch: 6 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 31543.51953125
[07/16/24 13:33:01] (0.55s) | Epoch: 1 | Batch: 7 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 32192.71875
[07/16/24 13:33:02] (0.59s) | Epoch: 1 | Batch: 8 (0.025s) | LR: 0.001 | KL Weight: 0.1 | Loss: 30291.662109375
[07/16/24 13:33:02] (0.62s) | Epoch: 1 | Batch: 9 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29817.126953125
[07/16/24 13:33:02] (0.65s) | Epoch: 1 | Batch: 10 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 30368.32421875
[07/16/24 13:33:02] (0.68s) | Epoch: 1 | Batch: 11 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 31628.9140625
[07/16/24 13:33:02] (0.71s) | Epoch: 1 | Batch: 12 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29972.74609375
[07/16/24 13:33:02] (0.74s) | Epoch: 1 | Batch: 13 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 28173.26171875
[07/16/24 13:33:02] (0.78s) | Epoch: 1 | Batch: 14 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 28459.791015625
[07/16/24 13:33:02] (0.81s) | Epoch: 1 | Batch: 15 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 27261.248046875
[07/16/24 13:33:02] (0.84s) | Epoch: 1 | Batch: 16 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 25858.09765625
[07/16/24 13:33:02] (0.87s) | Epoch: 1 | Batch: 17 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 25678.876953125
[07/16/24 13:33:02] (0.90s) | Epoch: 1 | Batch: 18 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24674.328125
[07/16/24 13:33:02] (0.93s) | Epoch: 1 | Batch: 19 (0.018s) | LR: 0.001 | KL Weight: 0.1 | Loss: 25521.18359375
[07/16/24 13:33:02] (0.96s) | Epoch: 1 | Batch: 20 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23323.369140625
[07/16/24 13:33:02] (1.00s) | Epoch: 1 | Batch: 21 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23963.935546875
[07/16/24 13:33:02] (1.03s) | Epoch: 1 | Batch: 22 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23475.24609375
[07/16/24 13:33:02] (1.06s) | Epoch: 1 | Batch: 23 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22577.216796875
[07/16/24 13:33:02] (1.09s) | Epoch: 1 | Batch: 24 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21420.408203125
[07/16/24 13:33:02] (1.12s) | Epoch: 1 | Batch: 25 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21730.884765625
[07/16/24 13:33:02] (1.15s) | Epoch: 1 | Batch: 26 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22061.353515625
[07/16/24 13:33:02] (1.19s) | Epoch: 1 | Batch: 27 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22262.12109375
[07/16/24 13:33:02] (1.22s) | Epoch: 1 | Batch: 28 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20828.91796875
[07/16/24 13:33:02] (1.25s) | Epoch: 1 | Batch: 29 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20996.39453125
[07/16/24 13:33:02] (1.28s) | Epoch: 1 | Batch: 30 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20428.640625
[07/16/24 13:33:02] (1.31s) | Epoch: 1 | Batch: 31 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21009.259765625
[07/16/24 13:33:02] (1.34s) | Epoch: 1 | Batch: 32 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21399.818359375
[07/16/24 13:33:02] (1.37s) | Epoch: 1 | Batch: 33 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20193.779296875
[07/16/24 13:33:02] (1.40s) | Epoch: 1 | Batch: 34 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20929.416015625
[07/16/24 13:33:02] (1.44s) | Epoch: 1 | Batch: 35 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19616.875
[07/16/24 13:33:02] (1.47s) | Epoch: 1 | Batch: 36 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19897.974609375
[07/16/24 13:33:02] (1.50s) | Epoch: 1 | Batch: 37 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20019.720703125
[07/16/24 13:33:02] (1.53s) | Epoch: 1 | Batch: 38 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20895.9296875
[07/16/24 13:33:02] (1.56s) | Epoch: 1 | Batch: 39 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20415.220703125
[07/16/24 13:33:03] (1.59s) | Epoch: 1 | Batch: 40 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20225.98828125
[07/16/24 13:33:03] (1.63s) | Epoch: 1 | Batch: 41 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20628.810546875
[07/16/24 13:33:03] (1.66s) | Epoch: 1 | Batch: 42 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20251.671875
[07/16/24 13:33:03] (1.69s) | Epoch: 1 | Batch: 43 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20333.896484375
[07/16/24 13:33:03] (1.72s) | Epoch: 1 | Batch: 44 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19433.9609375
[07/16/24 13:33:03] (1.75s) | Epoch: 1 | Batch: 45 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20274.517578125
[07/16/24 13:33:03] (1.78s) | Epoch: 1 | Batch: 46 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19174.607421875
[07/16/24 13:33:03] (1.81s) | Epoch: 1 | Batch: 47 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19866.029296875
[07/16/24 13:33:03] (1.85s) | Epoch: 1 | Batch: 48 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19830.888671875
[07/16/24 13:33:03] (1.88s) | Epoch: 1 | Batch: 49 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19792.998046875
[07/16/24 13:33:03] (1.91s) | Epoch: 1 | Batch: 50 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20331.7265625
[07/16/24 13:33:03] (1.94s) | Epoch: 1 | Batch: 51 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19564.310546875
[07/16/24 13:33:03] (1.97s) | Epoch: 1 | Batch: 52 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20907.72265625
[07/16/24 13:33:03] (2.00s) | Epoch: 1 | Batch: 53 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19689.140625
[07/16/24 13:33:03] (2.03s) | Epoch: 1 | Batch: 54 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18894.326171875
[07/16/24 13:33:03] (2.07s) | Epoch: 1 | Batch: 55 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20034.357421875
[07/16/24 13:33:03] (2.10s) | Epoch: 1 | Batch: 56 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20065.96484375
[07/16/24 13:33:03] (2.13s) | Epoch: 1 | Batch: 57 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19702.4375
[07/16/24 13:33:03] (2.16s) | Epoch: 1 | Batch: 58 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19178.619140625
[07/16/24 13:33:03] (2.19s) | Epoch: 1 | Batch: 59 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19983.076171875
[07/16/24 13:33:03] (2.22s) | Epoch: 1 | Batch: 60 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19441.998046875
[07/16/24 13:33:03] (2.25s) | Epoch: 1 | Batch: 61 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18745.29296875
[07/16/24 13:33:03] (2.28s) | Epoch: 1 | Batch: 62 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19232.4296875
[07/16/24 13:33:03] (2.32s) | Epoch: 1 | Batch: 63 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18830.640625
[07/16/24 13:33:03] (2.35s) | Epoch: 1 | Batch: 64 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18894.498046875
