Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/16/24 12:13:37] (0.23s) | Epoch: 1 | Batch: 0 (0.214s) | LR: 0.001 | KL Weight: 0.1 | Loss: 52614.7734375
[07/16/24 12:13:37] (0.32s) | Epoch: 1 | Batch: 1 (0.014s) | LR: 0.001 | KL Weight: 0.1 | Loss: 51819.87109375
[07/16/24 12:13:37] (0.36s) | Epoch: 1 | Batch: 2 (0.028s) | LR: 0.001 | KL Weight: 0.1 | Loss: 49556.28125
[07/16/24 12:13:37] (0.40s) | Epoch: 1 | Batch: 3 (0.028s) | LR: 0.001 | KL Weight: 0.1 | Loss: 41495.703125
[07/16/24 12:13:37] (0.44s) | Epoch: 1 | Batch: 4 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 34943.76171875
[07/16/24 12:13:37] (0.47s) | Epoch: 1 | Batch: 5 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 31375.154296875
[07/16/24 12:13:37] (0.51s) | Epoch: 1 | Batch: 6 (0.025s) | LR: 0.001 | KL Weight: 0.1 | Loss: 30748.96875
[07/16/24 12:13:37] (0.54s) | Epoch: 1 | Batch: 7 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29951.0078125
[07/16/24 12:13:38] (0.57s) | Epoch: 1 | Batch: 8 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29456.76171875
[07/16/24 12:13:38] (0.60s) | Epoch: 1 | Batch: 9 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 26849.27734375
[07/16/24 12:13:38] (0.64s) | Epoch: 1 | Batch: 10 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 26526.830078125
[07/16/24 12:13:38] (0.67s) | Epoch: 1 | Batch: 11 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23960.68359375
[07/16/24 12:13:38] (0.70s) | Epoch: 1 | Batch: 12 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24222.380859375
[07/16/24 12:13:38] (0.73s) | Epoch: 1 | Batch: 13 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 28948.38671875
[07/16/24 12:13:38] (0.76s) | Epoch: 1 | Batch: 14 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22722.279296875
[07/16/24 12:13:38] (0.79s) | Epoch: 1 | Batch: 15 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 26129.28515625
[07/16/24 12:13:38] (0.82s) | Epoch: 1 | Batch: 16 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22481.96484375
[07/16/24 12:13:38] (0.85s) | Epoch: 1 | Batch: 17 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24919.1875
[07/16/24 12:13:38] (0.89s) | Epoch: 1 | Batch: 18 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23236.765625
[07/16/24 12:13:38] (0.92s) | Epoch: 1 | Batch: 19 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22562.314453125
[07/16/24 12:13:38] (0.95s) | Epoch: 1 | Batch: 20 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23015.046875
[07/16/24 12:13:38] (0.98s) | Epoch: 1 | Batch: 21 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22829.31640625
[07/16/24 12:13:38] (1.01s) | Epoch: 1 | Batch: 22 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20932.234375
[07/16/24 12:13:38] (1.04s) | Epoch: 1 | Batch: 23 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21741.015625
[07/16/24 12:13:38] (1.07s) | Epoch: 1 | Batch: 24 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22247.775390625
[07/16/24 12:13:38] (1.10s) | Epoch: 1 | Batch: 25 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20531.5859375
[07/16/24 12:13:38] (1.14s) | Epoch: 1 | Batch: 26 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21828.4609375
[07/16/24 12:13:38] (1.17s) | Epoch: 1 | Batch: 27 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21496.490234375
[07/16/24 12:13:38] (1.20s) | Epoch: 1 | Batch: 28 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21298.90234375
[07/16/24 12:13:38] (1.23s) | Epoch: 1 | Batch: 29 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21469.41015625
[07/16/24 12:13:38] (1.26s) | Epoch: 1 | Batch: 30 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20714.708984375
[07/16/24 12:13:38] (1.29s) | Epoch: 1 | Batch: 31 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20774.404296875
[07/16/24 12:13:38] (1.32s) | Epoch: 1 | Batch: 32 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20201.4140625
[07/16/24 12:13:38] (1.36s) | Epoch: 1 | Batch: 33 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20537.302734375
[07/16/24 12:13:38] (1.39s) | Epoch: 1 | Batch: 34 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19157.216796875
