09/26/24 18:54:22 Textual logger initiated. Now configuring tensorboard writer.
09/26/24 18:54:22 Tensorboard writer created. Tensorboard logs will be saved to "./Training Logs/09-26-24__18-54-22/tensorboard".
09/26/24 18:54:22 Starting Tensorboard thread...
09/26/24 18:54:25 Tensorboard is ready at http://localhost:6006/.
09/26/24 18:54:25 Continuing to training script...
09/26/24 18:54:28 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

09/26/24 18:54:28 Train Loader Image Data Size: (28, 28)
09/26/24 18:54:29 (0m 00s) | [1/10000] Batch 0 (0.854s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.053, Rec. Loss: 0.25114363 | Total Loss: 0.25114363
09/26/24 18:54:30 (0m 01s) | [1/10000] Batch 1 (0.006s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.059, Rec. Loss: 0.25135055 | Total Loss: 0.25135055
09/26/24 18:54:30 (0m 01s) | [1/10000] Batch 2 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.058, Rec. Loss: 0.25142834 | Total Loss: 0.25142834
09/26/24 18:54:30 (0m 01s) | [1/10000] Batch 3 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.056, Rec. Loss: 0.25125438 | Total Loss: 0.25125438
09/26/24 18:54:30 (0m 01s) | [1/10000] Batch 4 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.052, Rec. Loss: 0.25128937 | Total Loss: 0.25128937
09/26/24 18:54:30 (0m 01s) | [1/10000] Batch 5 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.046, Rec. Loss: 0.25127816 | Total Loss: 0.25127816
09/26/24 18:54:30 (0m 01s) | [1/10000] Batch 6 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.052, Rec. Loss: 0.25130230 | Total Loss: 0.25130230
09/26/24 18:54:30 (0m 01s) | [1/10000] Batch 7 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.048, Rec. Loss: 0.25130633 | Total Loss: 0.25130633
09/26/24 18:54:30 (0m 01s) | [1/10000] Batch 8 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.046, Rec. Loss: 0.25128514 | Total Loss: 0.25128514
09/26/24 18:54:30 (0m 01s) | [1/10000] Batch 9 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.046, Rec. Loss: 0.25118881 | Total Loss: 0.25118881
09/26/24 18:54:30 (0m 01s) | [1/10000] Batch 10 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.046, Rec. Loss: 0.25121886 | Total Loss: 0.25121886
09/26/24 18:54:30 (0m 02s) | [1/10000] Batch 11 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.042, Rec. Loss: 0.25116336 | Total Loss: 0.25116336
09/26/24 18:54:30 (0m 02s) | [1/10000] Batch 12 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.036, Rec. Loss: 0.25110418 | Total Loss: 0.25110418
09/26/24 18:54:30 (0m 02s) | [1/10000] Batch 13 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.036, Rec. Loss: 0.25123140 | Total Loss: 0.25123140
09/26/24 18:54:30 (0m 02s) | [1/10000] Batch 14 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.041, Rec. Loss: 0.25128379 | Total Loss: 0.25128379
09/26/24 18:54:31 (0m 02s) | [1/10000] Batch 15 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.042, Rec. Loss: 0.25125837 | Total Loss: 0.25125837
09/26/24 18:54:31 (0m 02s) | [1/10000] Batch 16 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.025, Rec. Loss: 0.25113696 | Total Loss: 0.25113696
09/26/24 18:54:31 (0m 02s) | [1/10000] Batch 17 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.028, Rec. Loss: 0.25106257 | Total Loss: 0.25106257
09/26/24 18:54:31 (0m 02s) | [1/10000] Batch 18 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.034, Rec. Loss: 0.25128093 | Total Loss: 0.25128093
