07/24/24 11:27:23 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/24/24 11:27:24 (0m 00s) | [1/15] Batch 0 (0.755s) | LR: 0.001 | KLD: 4.743, KLW: 0.1, Rec. Loss: 0.712 | Loss: 1.19 | Abs. Loss: 1.19
07/24/24 11:27:24 (0m 01s) | [1/15] Batch 1 (0.006s) | LR: 0.001 | KLD: 2.186, KLW: 0.1, Rec. Loss: 0.698 | Loss: 0.92 | Abs. Loss: 2.10
07/24/24 11:27:24 (0m 01s) | [1/15] Batch 2 (0.005s) | LR: 0.001 | KLD: 2.905, KLW: 0.1, Rec. Loss: 0.644 | Loss: 0.93 | Abs. Loss: 3.04
07/24/24 11:27:24 (0m 01s) | [1/15] Batch 3 (0.004s) | LR: 0.001 | KLD: 0.399, KLW: 0.1, Rec. Loss: 0.502 | Loss: 0.54 | Abs. Loss: 3.58
07/24/24 11:27:24 (0m 01s) | [1/15] Batch 4 (0.004s) | LR: 0.001 | KLD: 0.394, KLW: 0.1, Rec. Loss: 0.414 | Loss: 0.45 | Abs. Loss: 4.03
07/24/24 11:27:24 (0m 01s) | [1/15] Batch 5 (0.005s) | LR: 0.001 | KLD: 0.136, KLW: 0.1, Rec. Loss: 0.472 | Loss: 0.49 | Abs. Loss: 4.52
07/24/24 11:27:24 (0m 01s) | [1/15] Batch 6 (0.005s) | LR: 0.001 | KLD: 0.218, KLW: 0.1, Rec. Loss: 0.425 | Loss: 0.45 | Abs. Loss: 4.97
07/24/24 11:27:24 (0m 01s) | [1/15] Batch 7 (0.005s) | LR: 0.001 | KLD: 0.249, KLW: 0.1, Rec. Loss: 0.392 | Loss: 0.42 | Abs. Loss: 5.38
07/24/24 11:27:24 (0m 01s) | [1/15] Batch 8 (0.005s) | LR: 0.001 | KLD: 0.220, KLW: 0.1, Rec. Loss: 0.424 | Loss: 0.45 | Abs. Loss: 5.83
07/24/24 11:27:24 (0m 01s) | [1/15] Batch 9 (0.006s) | LR: 0.001 | KLD: 0.177, KLW: 0.1, Rec. Loss: 0.416 | Loss: 0.43 | Abs. Loss: 6.26
07/24/24 11:27:24 (0m 01s) | [1/15] Batch 10 (0.005s) | LR: 0.001 | KLD: 0.137, KLW: 0.1, Rec. Loss: 0.389 | Loss: 0.40 | Abs. Loss: 6.66
07/24/24 11:27:24 (0m 01s) | [1/15] Batch 11 (0.006s) | LR: 0.001 | KLD: 0.130, KLW: 0.1, Rec. Loss: 0.376 | Loss: 0.39 | Abs. Loss: 7.05
07/24/24 11:27:24 (0m 01s) | [1/15] Batch 12 (0.006s) | LR: 0.001 | KLD: 0.120, KLW: 0.1, Rec. Loss: 0.366 | Loss: 0.38 | Abs. Loss: 7.43
07/24/24 11:27:24 (0m 01s) | [1/15] Batch 13 (0.005s) | LR: 0.001 | KLD: 0.122, KLW: 0.1, Rec. Loss: 0.383 | Loss: 0.39 | Abs. Loss: 7.83
07/24/24 11:27:24 (0m 01s) | [1/15] Batch 14 (0.006s) | LR: 0.001 | KLD: 0.098, KLW: 0.1, Rec. Loss: 0.352 | Loss: 0.36 | Abs. Loss: 8.19
07/24/24 11:27:24 (0m 01s) | [1/15] Batch 15 (0.006s) | LR: 0.001 | KLD: 0.109, KLW: 0.1, Rec. Loss: 0.341 | Loss: 0.35 | Abs. Loss: 8.54
07/24/24 11:27:24 (0m 01s) | [1/15] Batch 16 (0.004s) | LR: 0.001 | KLD: 0.227, KLW: 0.1, Rec. Loss: 0.333 | Loss: 0.36 | Abs. Loss: 8.89
07/24/24 11:27:24 (0m 01s) | [1/15] Batch 17 (0.006s) | LR: 0.001 | KLD: 0.812, KLW: 0.1, Rec. Loss: 0.336 | Loss: 0.42 | Abs. Loss: 9.31
07/24/24 11:27:25 (0m 01s) | [1/15] Batch 18 (0.006s) | LR: 0.001 | KLD: 0.209, KLW: 0.1, Rec. Loss: 0.324 | Loss: 0.35 | Abs. Loss: 9.66
07/24/24 11:27:25 (0m 01s) | [1/15] Batch 19 (0.005s) | LR: 0.001 | KLD: 0.243, KLW: 0.1, Rec. Loss: 0.301 | Loss: 0.33 | Abs. Loss: 9.98
07/24/24 11:27:25 (0m 01s) | [1/15] Batch 20 (0.005s) | LR: 0.001 | KLD: 0.323, KLW: 0.1, Rec. Loss: 0.297 | Loss: 0.33 | Abs. Loss: 10.31
07/24/24 11:27:25 (0m 01s) | [1/15] Batch 21 (0.006s) | LR: 0.001 | KLD: 0.075, KLW: 0.1, Rec. Loss: 0.295 | Loss: 0.30 | Abs. Loss: 10.61
07/24/24 11:27:25 (0m 01s) | [1/15] Batch 22 (0.005s) | LR: 0.001 | KLD: 0.186, KLW: 0.1, Rec. Loss: 0.284 | Loss: 0.30 | Abs. Loss: 10.92
07/24/24 11:27:25 (0m 01s) | [1/15] Batch 23 (0.006s) | LR: 0.001 | KLD: 0.092, KLW: 0.1, Rec. Loss: 0.285 | Loss: 0.29 | Abs. Loss: 11.21
07/24/24 11:27:25 (0m 01s) | [1/15] Batch 24 (0.006s) | LR: 0.001 | KLD: 0.139, KLW: 0.1, Rec. Loss: 0.302 | Loss: 0.32 | Abs. Loss: 11.52
07/24/24 11:27:25 (0m 01s) | [1/15] Batch 25 (0.005s) | LR: 0.001 | KLD: 0.064, KLW: 0.1, Rec. Loss: 0.295 | Loss: 0.30 | Abs. Loss: 11.83
07/24/24 11:27:25 (0m 01s) | [1/15] Batch 26 (0.006s) | LR: 0.001 | KLD: 0.077, KLW: 0.1, Rec. Loss: 0.284 | Loss: 0.29 | Abs. Loss: 12.12
07/24/24 11:27:25 (0m 01s) | [1/15] Batch 27 (0.005s) | LR: 0.001 | KLD: 0.067, KLW: 0.1, Rec. Loss: 0.284 | Loss: 0.29 | Abs. Loss: 12.41
07/24/24 11:27:25 (0m 01s) | [1/15] Batch 28 (0.005s) | LR: 0.001 | KLD: 0.041, KLW: 0.1, Rec. Loss: 0.298 | Loss: 0.30 | Abs. Loss: 12.71
07/24/24 11:27:25 (0m 01s) | [1/15] Batch 29 (0.006s) | LR: 0.001 | KLD: 0.058, KLW: 0.1, Rec. Loss: 0.269 | Loss: 0.27 | Abs. Loss: 12.98
07/24/24 11:27:25 (0m 01s) | [1/15] Batch 30 (0.006s) | LR: 0.001 | KLD: 0.038, KLW: 0.1, Rec. Loss: 0.299 | Loss: 0.30 | Abs. Loss: 13.29
07/24/24 11:27:25 (0m 01s) | [1/15] Batch 31 (0.004s) | LR: 0.001 | KLD: 0.056, KLW: 0.1, Rec. Loss: 0.294 | Loss: 0.30 | Abs. Loss: 13.59
07/24/24 11:27:25 (0m 01s) | [1/15] Batch 32 (0.006s) | LR: 0.001 | KLD: 0.034, KLW: 0.1, Rec. Loss: 0.282 | Loss: 0.29 | Abs. Loss: 13.87
07/24/24 11:27:25 (0m 01s) | [1/15] Batch 33 (0.005s) | LR: 0.001 | KLD: 0.038, KLW: 0.1, Rec. Loss: 0.286 | Loss: 0.29 | Abs. Loss: 14.16
07/24/24 11:27:25 (0m 02s) | [1/15] Batch 34 (0.006s) | LR: 0.001 | KLD: 0.031, KLW: 0.1, Rec. Loss: 0.270 | Loss: 0.27 | Abs. Loss: 14.44
07/24/24 11:27:25 (0m 02s) | [1/15] Batch 35 (0.006s) | LR: 0.001 | KLD: 0.024, KLW: 0.1, Rec. Loss: 0.290 | Loss: 0.29 | Abs. Loss: 14.73
07/24/24 11:27:25 (0m 02s) | [1/15] Batch 36 (0.005s) | LR: 0.001 | KLD: 0.028, KLW: 0.1, Rec. Loss: 0.281 | Loss: 0.28 | Abs. Loss: 15.01
07/24/24 11:27:25 (0m 02s) | [1/15] Batch 37 (0.006s) | LR: 0.001 | KLD: 0.025, KLW: 0.1, Rec. Loss: 0.287 | Loss: 0.29 | Abs. Loss: 15.30
07/24/24 11:27:25 (0m 02s) | [1/15] Batch 38 (0.006s) | LR: 0.001 | KLD: 0.024, KLW: 0.1, Rec. Loss: 0.278 | Loss: 0.28 | Abs. Loss: 15.58
07/24/24 11:27:25 (0m 02s) | [1/15] Batch 39 (0.005s) | LR: 0.001 | KLD: 0.017, KLW: 0.1, Rec. Loss: 0.278 | Loss: 0.28 | Abs. Loss: 15.86
07/24/24 11:27:25 (0m 02s) | [1/15] Batch 40 (0.006s) | LR: 0.001 | KLD: 0.018, KLW: 0.1, Rec. Loss: 0.273 | Loss: 0.27 | Abs. Loss: 16.14
07/24/24 11:27:25 (0m 02s) | [1/15] Batch 41 (0.005s) | LR: 0.001 | KLD: 0.017, KLW: 0.1, Rec. Loss: 0.282 | Loss: 0.28 | Abs. Loss: 16.42
07/24/24 11:27:25 (0m 02s) | [1/15] Batch 42 (0.005s) | LR: 0.001 | KLD: 0.014, KLW: 0.1, Rec. Loss: 0.263 | Loss: 0.26 | Abs. Loss: 16.69
07/24/24 11:27:25 (0m 02s) | [1/15] Batch 43 (0.005s) | LR: 0.001 | KLD: 0.017, KLW: 0.1, Rec. Loss: 0.275 | Loss: 0.28 | Abs. Loss: 16.96
