08/08/24 16:47:23 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

08/08/24 16:47:24 (0m 00s) | [1/8] Batch 0 (0.685s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 53456.191 | Loss: 53456.77 | Abs. Loss: 53456.77
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 1 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 52321.555 | Loss: 52322.21 | Abs. Loss: 105778.98
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 2 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 47664.906 | Loss: 47666.25 | Abs. Loss: 153445.22
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 3 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 34898.797 | Loss: 34907.09 | Abs. Loss: 188352.32
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 4 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 56359.070 | Loss: 56413.51 | Abs. Loss: 244765.82
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 5 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 31740.180 | Loss: 31752.47 | Abs. Loss: 276518.29
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 6 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 32986.734 | Loss: 32990.38 | Abs. Loss: 309508.68
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 7 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 35517.770 | Loss: 35519.45 | Abs. Loss: 345028.13
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 8 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 35895.293 | Loss: 35896.44 | Abs. Loss: 380924.57
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 9 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 32953.188 | Loss: 32954.12 | Abs. Loss: 413878.69
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 10 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 30326.479 | Loss: 30327.52 | Abs. Loss: 444206.21
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 11 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 29361.152 | Loss: 29362.70 | Abs. Loss: 473568.90
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 12 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 32458.238 | Loss: 32460.13 | Abs. Loss: 506029.03
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 13 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 31257.920 | Loss: 31259.16 | Abs. Loss: 537288.19
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 14 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 27582.562 | Loss: 27583.99 | Abs. Loss: 564872.18
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 15 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 29440.766 | Loss: 29446.91 | Abs. Loss: 594319.09
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 16 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 29160.572 | Loss: 29167.97 | Abs. Loss: 623487.06
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 17 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 27560.043 | Loss: 27565.49 | Abs. Loss: 651052.55
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 18 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 28193.605 | Loss: 28198.58 | Abs. Loss: 679251.13
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 19 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 27810.209 | Loss: 27816.04 | Abs. Loss: 707067.17
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 20 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 25742.678 | Loss: 25750.11 | Abs. Loss: 732817.29
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 21 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 23566.164 | Loss: 23579.19 | Abs. Loss: 756396.48
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 22 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 24825.957 | Loss: 24861.05 | Abs. Loss: 781257.53
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 23 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 22789.426 | Loss: 22818.41 | Abs. Loss: 804075.94
08/08/24 16:47:25 (0m 01s) | [1/8] Batch 24 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 23291.504 | Loss: 23320.70 | Abs. Loss: 827396.64
