10/04/24 12:55:59 Textual logger initiated. Now configuring tensorboard writer.
10/04/24 12:55:59 Tensorboard writers created. Tensorboard logs will be saved to "./Training Logs/10-04-24__12-55-59/tensorboard".
10/04/24 12:55:59 Starting Tensorboard thread...
10/04/24 12:56:02 Tensorboard is ready at http://localhost:6006/.
10/04/24 12:56:02 Continuing to training script...
10/04/24 12:56:05 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

10/04/24 12:56:05 Train Loader Image Data Size: (28, 28)
10/04/24 12:56:06 (0:00:00.95) | [1/10000] Batch 0 (0.919s) | LR: 1e-08 | KLW: 0, KLD (loss): 2519.546, Rec. Loss: 14252.80957031 | Total Loss: 14252.80957031
10/04/24 12:56:07 (0:00:02.18) | [1/10000] Batch 1 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 2312.668, Rec. Loss: 13462.95703125 | Total Loss: 13462.95703125
10/04/24 12:56:08 (0:00:02.21) | [1/10000] Batch 2 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2357.570, Rec. Loss: 13469.34570312 | Total Loss: 13469.34570312
10/04/24 12:56:08 (0:00:02.25) | [1/10000] Batch 3 (0.005s) | LR: 1e-08 | KLW: 0, KLD (loss): 2243.705, Rec. Loss: 12881.16308594 | Total Loss: 12881.16308594
10/04/24 12:56:08 (0:00:02.29) | [1/10000] Batch 4 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2303.534, Rec. Loss: 13199.53027344 | Total Loss: 13199.53027344
10/04/24 12:56:08 (0:00:02.32) | [1/10000] Batch 5 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2313.094, Rec. Loss: 13258.90429688 | Total Loss: 13258.90429688
10/04/24 12:56:08 (0:00:02.36) | [1/10000] Batch 6 (0.005s) | LR: 1e-08 | KLW: 0, KLD (loss): 2291.519, Rec. Loss: 13166.60058594 | Total Loss: 13166.60058594
10/04/24 12:56:08 (0:00:02.39) | [1/10000] Batch 7 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2334.852, Rec. Loss: 13358.66308594 | Total Loss: 13358.66308594
10/04/24 12:56:08 (0:00:02.43) | [1/10000] Batch 8 (0.005s) | LR: 1e-08 | KLW: 0, KLD (loss): 2440.406, Rec. Loss: 14023.39257812 | Total Loss: 14023.39257812
10/04/24 12:56:08 (0:00:02.46) | [1/10000] Batch 9 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2331.578, Rec. Loss: 13510.05566406 | Total Loss: 13510.05566406
10/04/24 12:56:08 (0:00:02.50) | [1/10000] Batch 10 (0.005s) | LR: 1e-08 | KLW: 0, KLD (loss): 2312.603, Rec. Loss: 13271.93750000 | Total Loss: 13271.93750000
10/04/24 12:56:08 (0:00:02.53) | [1/10000] Batch 11 (0.005s) | LR: 1e-08 | KLW: 0, KLD (loss): 2264.825, Rec. Loss: 13000.35058594 | Total Loss: 13000.35058594
10/04/24 12:56:08 (0:00:02.57) | [1/10000] Batch 12 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2264.890, Rec. Loss: 13119.31250000 | Total Loss: 13119.31250000
10/04/24 12:56:08 (0:00:02.61) | [1/10000] Batch 13 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 2311.782, Rec. Loss: 13331.82812500 | Total Loss: 13331.82812500
10/04/24 12:56:08 (0:00:02.64) | [1/10000] Batch 14 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2261.811, Rec. Loss: 13024.42578125 | Total Loss: 13024.42578125
10/04/24 12:56:08 (0:00:02.68) | [1/10000] Batch 15 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2201.526, Rec. Loss: 12755.36621094 | Total Loss: 12755.36621094
10/04/24 12:56:08 (0:00:02.71) | [1/10000] Batch 16 (0.005s) | LR: 1e-08 | KLW: 0, KLD (loss): 2457.030, Rec. Loss: 14123.00585938 | Total Loss: 14123.00585938
10/04/24 12:56:08 (0:00:02.75) | [1/10000] Batch 17 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2493.094, Rec. Loss: 14342.58593750 | Total Loss: 14342.58593750
10/04/24 12:56:08 (0:00:02.78) | [1/10000] Batch 18 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2342.920, Rec. Loss: 13372.85351562 | Total Loss: 13372.85351562
10/04/24 12:56:08 (0:00:02.82) | [1/10000] Batch 19 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2551.953, Rec. Loss: 14704.90332031 | Total Loss: 14704.90332031
10/04/24 12:56:08 (0:00:02.85) | [1/10000] Batch 20 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2298.441, Rec. Loss: 13321.06738281 | Total Loss: 13321.06738281
10/04/24 12:56:08 (0:00:02.89) | [1/10000] Batch 21 (0.005s) | LR: 1e-08 | KLW: 0, KLD (loss): 2183.350, Rec. Loss: 12578.40917969 | Total Loss: 12578.40917969
10/04/24 12:56:08 (0:00:02.93) | [1/10000] Batch 22 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 2426.853, Rec. Loss: 13951.74218750 | Total Loss: 13951.74218750
10/04/24 12:56:08 (0:00:02.96) | [1/10000] Batch 23 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2260.861, Rec. Loss: 13026.34277344 | Total Loss: 13026.34277344
10/04/24 12:56:08 (0:00:03.00) | [1/10000] Batch 24 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2388.428, Rec. Loss: 13748.26074219 | Total Loss: 13748.26074219
10/04/24 12:56:08 (0:00:03.03) | [1/10000] Batch 25 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2258.930, Rec. Loss: 13022.90527344 | Total Loss: 13022.90527344
10/04/24 12:56:08 (0:00:03.07) | [1/10000] Batch 26 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2404.686, Rec. Loss: 13825.43359375 | Total Loss: 13825.43359375
10/04/24 12:56:08 (0:00:03.10) | [1/10000] Batch 27 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2394.846, Rec. Loss: 13931.86621094 | Total Loss: 13931.86621094
10/04/24 12:56:08 (0:00:03.14) | [1/10000] Batch 28 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2375.898, Rec. Loss: 13738.75390625 | Total Loss: 13738.75390625
10/04/24 12:56:08 (0:00:03.17) | [1/10000] Batch 29 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2120.210, Rec. Loss: 12277.20312500 | Total Loss: 12277.20312500
10/04/24 12:56:09 (0:00:03.21) | [1/10000] Batch 30 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2367.235, Rec. Loss: 13601.72070312 | Total Loss: 13601.72070312
10/04/24 12:56:09 (0:00:03.24) | [1/10000] Batch 31 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2390.444, Rec. Loss: 13704.50976562 | Total Loss: 13704.50976562
10/04/24 12:56:09 (0:00:03.28) | [1/10000] Batch 32 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2365.875, Rec. Loss: 13621.50000000 | Total Loss: 13621.50000000
10/04/24 12:56:09 (0:00:03.31) | [1/10000] Batch 33 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2073.381, Rec. Loss: 12028.55664062 | Total Loss: 12028.55664062
10/04/24 12:56:09 (0:00:03.35) | [1/10000] Batch 34 (0.006s) | LR: 1e-08 | KLW: 0, KLD (loss): 2328.346, Rec. Loss: 13382.32519531 | Total Loss: 13382.32519531
10/04/24 12:56:09 (0:00:03.38) | [1/10000] Batch 35 (0.005s) | LR: 1e-08 | KLW: 0, KLD (loss): 2484.294, Rec. Loss: 14239.10644531 | Total Loss: 14239.10644531
10/04/24 12:56:09 (0:00:03.42) | [1/10000] Batch 36 (0.005s) | LR: 1e-08 | KLW: 0, KLD (loss): 2394.565, Rec. Loss: 13884.18945312 | Total Loss: 13884.18945312
10/04/24 12:56:09 (0:00:03.45) | [1/10000] Batch 37 (0.005s) | LR: 1e-08 | KLW: 0, KLD (loss): 2484.240, Rec. Loss: 14308.12402344 | Total Loss: 14308.12402344
10/04/24 12:56:09 (0:00:03.49) | [1/10000] Batch 38 (0.005s) | LR: 1e-08 | KLW: 0, KLD (loss): 2439.140, Rec. Loss: 14030.17480469 | Total Loss: 14030.17480469
