09/26/24 16:11:17 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

09/26/24 16:11:17 Train Loader Image Data Size: (28, 28)
09/26/24 16:11:18 (0m 00s) | [1/10000] Batch 0 (0.740s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.704, Rec. Loss: 0.26349679 | Total Loss: 0.26349679
09/26/24 16:11:19 (0m 01s) | [1/10000] Batch 1 (0.006s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.686, Rec. Loss: 0.26360670 | Total Loss: 0.26360670
09/26/24 16:11:19 (0m 01s) | [1/10000] Batch 2 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.704, Rec. Loss: 0.26346380 | Total Loss: 0.26346380
09/26/24 16:11:19 (0m 01s) | [1/10000] Batch 3 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.684, Rec. Loss: 0.26356325 | Total Loss: 0.26356325
09/26/24 16:11:19 (0m 01s) | [1/10000] Batch 4 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.686, Rec. Loss: 0.26353720 | Total Loss: 0.26353720
09/26/24 16:11:19 (0m 01s) | [1/10000] Batch 5 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.692, Rec. Loss: 0.26347557 | Total Loss: 0.26347557
09/26/24 16:11:19 (0m 01s) | [1/10000] Batch 6 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.689, Rec. Loss: 0.26347831 | Total Loss: 0.26347831
09/26/24 16:11:19 (0m 01s) | [1/10000] Batch 7 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.676, Rec. Loss: 0.26351368 | Total Loss: 0.26351368
09/26/24 16:11:19 (0m 01s) | [1/10000] Batch 8 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.669, Rec. Loss: 0.26354486 | Total Loss: 0.26354486
09/26/24 16:11:19 (0m 01s) | [1/10000] Batch 9 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.667, Rec. Loss: 0.26352251 | Total Loss: 0.26352251
09/26/24 16:11:19 (0m 01s) | [1/10000] Batch 10 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.681, Rec. Loss: 0.26335853 | Total Loss: 0.26335853
09/26/24 16:11:20 (0m 02s) | [1/10000] Batch 11 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.679, Rec. Loss: 0.26341105 | Total Loss: 0.26341105
09/26/24 16:11:20 (0m 02s) | [1/10000] Batch 12 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.653, Rec. Loss: 0.26352975 | Total Loss: 0.26352975
09/26/24 16:11:20 (0m 02s) | [1/10000] Batch 13 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.644, Rec. Loss: 0.26360625 | Total Loss: 0.26360625
09/26/24 16:11:20 (0m 02s) | [1/10000] Batch 14 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.658, Rec. Loss: 0.26348928 | Total Loss: 0.26348928
09/26/24 16:11:20 (0m 02s) | [1/10000] Batch 15 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.643, Rec. Loss: 0.26355562 | Total Loss: 0.26355562
09/26/24 16:11:20 (0m 02s) | [1/10000] Batch 16 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.654, Rec. Loss: 0.26344213 | Total Loss: 0.26344213
09/26/24 16:11:20 (0m 02s) | [1/10000] Batch 17 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.672, Rec. Loss: 0.26326516 | Total Loss: 0.26326516
09/26/24 16:11:20 (0m 02s) | [1/10000] Batch 18 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.650, Rec. Loss: 0.26348352 | Total Loss: 0.26348352
09/26/24 16:11:20 (0m 02s) | [1/10000] Batch 19 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.650, Rec. Loss: 0.26341733 | Total Loss: 0.26341733
09/26/24 16:11:20 (0m 02s) | [1/10000] Batch 20 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.654, Rec. Loss: 0.26338056 | Total Loss: 0.26338056
09/26/24 16:11:20 (0m 02s) | [1/10000] Batch 21 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.643, Rec. Loss: 0.26349664 | Total Loss: 0.26349664
