09/26/24 15:02:40 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

09/26/24 15:02:40 Train Loader Image Data Size: (28, 28)
09/26/24 15:02:40 (0m 00s) | [1/10000] Batch 0 (0.706s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.647, Rec. Loss: 0.23223773 | Total Loss: 0.23223773
09/26/24 15:02:41 (0m 01s) | [1/10000] Batch 1 (0.006s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.654, Rec. Loss: 0.23218775 | Total Loss: 0.23218775
09/26/24 15:02:41 (0m 01s) | [1/10000] Batch 2 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.643, Rec. Loss: 0.23229288 | Total Loss: 0.23229288
09/26/24 15:02:41 (0m 01s) | [1/10000] Batch 3 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.652, Rec. Loss: 0.23225342 | Total Loss: 0.23225342
09/26/24 15:02:41 (0m 01s) | [1/10000] Batch 4 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.668, Rec. Loss: 0.23216513 | Total Loss: 0.23216513
09/26/24 15:02:41 (0m 01s) | [1/10000] Batch 5 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.675, Rec. Loss: 0.23219265 | Total Loss: 0.23219265
09/26/24 15:02:41 (0m 01s) | [1/10000] Batch 6 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.688, Rec. Loss: 0.23208925 | Total Loss: 0.23208925
09/26/24 15:02:41 (0m 01s) | [1/10000] Batch 7 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.695, Rec. Loss: 0.23210208 | Total Loss: 0.23210208
09/26/24 15:02:41 (0m 01s) | [1/10000] Batch 8 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.678, Rec. Loss: 0.23224434 | Total Loss: 0.23224434
09/26/24 15:02:42 (0m 01s) | [1/10000] Batch 9 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.683, Rec. Loss: 0.23221345 | Total Loss: 0.23221345
09/26/24 15:02:42 (0m 01s) | [1/10000] Batch 10 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.691, Rec. Loss: 0.23225486 | Total Loss: 0.23225486
