09/26/24 13:12:08 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

09/26/24 13:12:08 Train Loader Image Data Size: (28, 28)
09/26/24 13:12:10 (0m 01s) | [1/10000] Batch 0 (0.733s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.848, Rec. Loss: 0.23321028 | Total Loss: 0.23321028
09/26/24 13:12:11 (0m 02s) | [1/10000] Batch 1 (0.007s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.819, Rec. Loss: 0.23331857 | Total Loss: 0.23331857
09/26/24 13:12:11 (0m 02s) | [1/10000] Batch 2 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.854, Rec. Loss: 0.23311770 | Total Loss: 0.23311770
09/26/24 13:12:12 (0m 03s) | [1/10000] Batch 3 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.836, Rec. Loss: 0.23320825 | Total Loss: 0.23320825
09/26/24 13:12:12 (0m 03s) | [1/10000] Batch 4 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.843, Rec. Loss: 0.23313835 | Total Loss: 0.23313835
09/26/24 13:12:12 (0m 03s) | [1/10000] Batch 5 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.825, Rec. Loss: 0.23321444 | Total Loss: 0.23321444
09/26/24 13:12:13 (0m 04s) | [1/10000] Batch 6 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.817, Rec. Loss: 0.23323242 | Total Loss: 0.23323242
09/26/24 13:12:13 (0m 04s) | [1/10000] Batch 7 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.837, Rec. Loss: 0.23313738 | Total Loss: 0.23313738
09/26/24 13:12:13 (0m 04s) | [1/10000] Batch 8 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.826, Rec. Loss: 0.23319052 | Total Loss: 0.23319052
09/26/24 13:12:14 (0m 05s) | [1/10000] Batch 9 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.819, Rec. Loss: 0.23322275 | Total Loss: 0.23322275
09/26/24 13:12:14 (0m 05s) | [1/10000] Batch 10 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.831, Rec. Loss: 0.23310828 | Total Loss: 0.23310828
09/26/24 13:12:14 (0m 05s) | [1/10000] Batch 11 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.832, Rec. Loss: 0.23307672 | Total Loss: 0.23307672
09/26/24 13:12:15 (0m 06s) | [1/10000] Batch 12 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.826, Rec. Loss: 0.23310483 | Total Loss: 0.23310483
09/26/24 13:12:15 (0m 06s) | [1/10000] Batch 13 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.838, Rec. Loss: 0.23305283 | Total Loss: 0.23305283
09/26/24 13:12:15 (0m 06s) | [1/10000] Batch 14 (0.022s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.841, Rec. Loss: 0.23300146 | Total Loss: 0.23300146
09/26/24 13:12:16 (0m 07s) | [1/10000] Batch 15 (0.009s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.831, Rec. Loss: 0.23305413 | Total Loss: 0.23305413
09/26/24 13:12:16 (0m 07s) | [1/10000] Batch 16 (0.022s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.823, Rec. Loss: 0.23312505 | Total Loss: 0.23312505
09/26/24 13:12:16 (0m 07s) | [1/10000] Batch 17 (0.033s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.821, Rec. Loss: 0.23307350 | Total Loss: 0.23307350
09/26/24 13:12:17 (0m 08s) | [1/10000] Batch 18 (0.007s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.844, Rec. Loss: 0.23292714 | Total Loss: 0.23292714
09/26/24 13:12:17 (0m 08s) | [1/10000] Batch 19 (0.007s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.813, Rec. Loss: 0.23310043 | Total Loss: 0.23310043
09/26/24 13:12:17 (0m 08s) | [1/10000] Batch 20 (0.006s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.842, Rec. Loss: 0.23290493 | Total Loss: 0.23290493
09/26/24 13:12:18 (0m 09s) | [1/10000] Batch 21 (0.007s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.844, Rec. Loss: 0.23288450 | Total Loss: 0.23288450
09/26/24 13:12:18 (0m 09s) | [1/10000] Batch 22 (0.006s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.819, Rec. Loss: 0.23303787 | Total Loss: 0.23303787
09/26/24 13:12:19 (0m 10s) | [1/10000] Batch 23 (0.023s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.818, Rec. Loss: 0.23304436 | Total Loss: 0.23304436
09/26/24 13:12:19 (0m 10s) | [1/10000] Batch 24 (0.023s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.847, Rec. Loss: 0.23287700 | Total Loss: 0.23287700
09/26/24 13:12:19 (0m 10s) | [1/10000] Batch 25 (0.023s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.830, Rec. Loss: 0.23293492 | Total Loss: 0.23293492
09/26/24 13:12:20 (0m 11s) | [1/10000] Batch 26 (0.022s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.829, Rec. Loss: 0.23294193 | Total Loss: 0.23294193
09/26/24 13:12:20 (0m 11s) | [1/10000] Batch 27 (0.023s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.823, Rec. Loss: 0.23299471 | Total Loss: 0.23299471
09/26/24 13:12:21 (0m 12s) | [1/10000] Batch 28 (0.121s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.838, Rec. Loss: 0.23288549 | Total Loss: 0.23288549
09/26/24 13:12:21 (0m 12s) | [1/10000] Batch 29 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.836, Rec. Loss: 0.23291738 | Total Loss: 0.23291738
09/26/24 13:12:21 (0m 12s) | [1/10000] Batch 30 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.808, Rec. Loss: 0.23301643 | Total Loss: 0.23301643
09/26/24 13:12:22 (0m 13s) | [1/10000] Batch 31 (0.007s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.835, Rec. Loss: 0.23287967 | Total Loss: 0.23287967
09/26/24 13:12:22 (0m 13s) | [1/10000] Batch 32 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.812, Rec. Loss: 0.23303457 | Total Loss: 0.23303457
09/26/24 13:12:22 (0m 13s) | [1/10000] Batch 33 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.811, Rec. Loss: 0.23303379 | Total Loss: 0.23303379
09/26/24 13:12:23 (0m 14s) | [1/10000] Batch 34 (0.007s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.822, Rec. Loss: 0.23293978 | Total Loss: 0.23293978
09/26/24 13:12:23 (0m 14s) | [1/10000] Batch 35 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.817, Rec. Loss: 0.23298392 | Total Loss: 0.23298392
09/26/24 13:12:23 (0m 14s) | [1/10000] Batch 36 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.832, Rec. Loss: 0.23287626 | Total Loss: 0.23287626
09/26/24 13:12:23 (0m 14s) | [1/10000] Batch 37 (0.006s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.851, Rec. Loss: 0.23278049 | Total Loss: 0.23278049
09/26/24 13:12:24 (0m 15s) | [1/10000] Batch 38 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.814, Rec. Loss: 0.23295933 | Total Loss: 0.23295933
09/26/24 13:12:24 (0m 15s) | [1/10000] Batch 39 (0.027s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.839, Rec. Loss: 0.23282287 | Total Loss: 0.23282287
09/26/24 13:12:24 (0m 15s) | [1/10000] Batch 40 (0.027s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.836, Rec. Loss: 0.23282665 | Total Loss: 0.23282665
09/26/24 13:12:25 (0m 16s) | [1/10000] Batch 41 (0.029s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.824, Rec. Loss: 0.23292281 | Total Loss: 0.23292281
09/26/24 13:12:25 (0m 16s) | [1/10000] Batch 42 (0.027s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.856, Rec. Loss: 0.23274021 | Total Loss: 0.23274021
