09/26/24 12:52:24 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

09/26/24 12:52:24 Train Loader Image Data Size: (28, 28)
09/26/24 12:52:30 (0m 05s) | [1/10000] Batch 0 (4.750s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.785, Rec. Loss: 0.25659931 | Total Loss: 0.25659931
09/26/24 12:52:32 (0m 07s) | [1/10000] Batch 1 (0.009s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.778, Rec. Loss: 0.25662073 | Total Loss: 0.25662073
09/26/24 12:52:32 (0m 07s) | [1/10000] Batch 2 (0.009s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.781, Rec. Loss: 0.25660989 | Total Loss: 0.25660989
09/26/24 12:52:33 (0m 08s) | [1/10000] Batch 3 (0.006s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.786, Rec. Loss: 0.25662732 | Total Loss: 0.25662732
09/26/24 12:52:33 (0m 08s) | [1/10000] Batch 4 (0.020s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.777, Rec. Loss: 0.25668308 | Total Loss: 0.25668308
09/26/24 12:52:34 (0m 09s) | [1/10000] Batch 5 (0.033s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.792, Rec. Loss: 0.25642174 | Total Loss: 0.25642174
09/26/24 12:52:34 (0m 09s) | [1/10000] Batch 6 (0.021s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.794, Rec. Loss: 0.25652263 | Total Loss: 0.25652263
09/26/24 12:52:35 (0m 10s) | [1/10000] Batch 7 (0.020s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.789, Rec. Loss: 0.25655234 | Total Loss: 0.25655234
09/26/24 12:52:35 (0m 10s) | [1/10000] Batch 8 (0.022s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.795, Rec. Loss: 0.25652808 | Total Loss: 0.25652808
09/26/24 12:52:36 (0m 11s) | [1/10000] Batch 9 (0.020s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.794, Rec. Loss: 0.25669661 | Total Loss: 0.25669661
09/26/24 12:52:36 (0m 11s) | [1/10000] Batch 10 (0.020s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.795, Rec. Loss: 0.25654420 | Total Loss: 0.25654420
09/26/24 12:52:37 (0m 12s) | [1/10000] Batch 11 (0.020s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.798, Rec. Loss: 0.25649297 | Total Loss: 0.25649297
09/26/24 12:52:37 (0m 12s) | [1/10000] Batch 12 (0.020s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.803, Rec. Loss: 0.25645345 | Total Loss: 0.25645345
09/26/24 12:52:37 (0m 12s) | [1/10000] Batch 13 (0.050s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.805, Rec. Loss: 0.25645989 | Total Loss: 0.25645989
09/26/24 12:52:38 (0m 13s) | [1/10000] Batch 14 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.808, Rec. Loss: 0.25649494 | Total Loss: 0.25649494
09/26/24 12:52:38 (0m 13s) | [1/10000] Batch 15 (0.008s) | LR: 1e-06 | KLW: 0, KLD (loss): 11.815, Rec. Loss: 0.25637805 | Total Loss: 0.25637805
