09/26/24 18:35:56 Textual logger initiated. Now configuring tensorboard writer.
09/26/24 18:35:56 Tensorboard writer created. Tensorboard logs will be saved to "./Training Logs/09-26-24__18-35-56/tensorboard".
09/26/24 18:35:56 Starting Tensorboard thread...
09/26/24 18:36:00 Tensorboard is ready at http://localhost:6006/.
09/26/24 18:36:00 Continuing to training script...
09/26/24 18:36:03 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

09/26/24 18:36:03 Train Loader Image Data Size: (28, 28)
09/26/24 18:36:04 (0m 00s) | [1/10000] Batch 0 (0.692s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.581, Rec. Loss: 0.23423427 | Total Loss: 0.23423427
09/26/24 18:36:04 (0m 01s) | [1/10000] Batch 1 (0.006s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.580, Rec. Loss: 0.23442109 | Total Loss: 0.23442109
09/26/24 18:36:04 (0m 01s) | [1/10000] Batch 2 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.579, Rec. Loss: 0.23426843 | Total Loss: 0.23426843
09/26/24 18:36:04 (0m 01s) | [1/10000] Batch 3 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.575, Rec. Loss: 0.23431820 | Total Loss: 0.23431820
09/26/24 18:36:04 (0m 01s) | [1/10000] Batch 4 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.583, Rec. Loss: 0.23411544 | Total Loss: 0.23411544
09/26/24 18:36:04 (0m 01s) | [1/10000] Batch 5 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.571, Rec. Loss: 0.23441546 | Total Loss: 0.23441546
09/26/24 18:36:04 (0m 01s) | [1/10000] Batch 6 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.566, Rec. Loss: 0.23435245 | Total Loss: 0.23435245
09/26/24 18:36:04 (0m 01s) | [1/10000] Batch 7 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.578, Rec. Loss: 0.23417854 | Total Loss: 0.23417854
09/26/24 18:36:05 (0m 01s) | [1/10000] Batch 8 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.581, Rec. Loss: 0.23413141 | Total Loss: 0.23413141
09/26/24 18:36:05 (0m 01s) | [1/10000] Batch 9 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.580, Rec. Loss: 0.23417191 | Total Loss: 0.23417191
09/26/24 18:36:05 (0m 01s) | [1/10000] Batch 10 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.568, Rec. Loss: 0.23430148 | Total Loss: 0.23430148
09/26/24 18:36:05 (0m 01s) | [1/10000] Batch 11 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.564, Rec. Loss: 0.23435836 | Total Loss: 0.23435836
09/26/24 18:36:05 (0m 01s) | [1/10000] Batch 12 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.575, Rec. Loss: 0.23408169 | Total Loss: 0.23408169
09/26/24 18:36:05 (0m 01s) | [1/10000] Batch 13 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 8.570, Rec. Loss: 0.23419598 | Total Loss: 0.23419598
